 &SRS
<MetaDataAtStart>
mode=assessment
variable_meta=True
noisy=True
background=True
multiple=True
Wavelength (Angstroms)=1.32835
features=15
offset_compensation=1
pre-filter-mode=0
slit_1_setting=0.6621
detector_offset=-4.2023
preamp_freq=923.9790
seed=928423300
integrator constant=41.2060
Mode=assessment
post-filter-chopper=0
temperature=347.9667
detector_gain=1000
issid=py23sr2
slit_2_setting=0.7634
</MetaDataAtStart>
&END
Two Theta(deg)	Counts(sec^-1)
10.0	8.0
10.1	8.0
10.2	4.0
10.3	9.0
10.4	2.0
10.5	6.0
10.6	8.0
10.7	4.0
10.8	10.0
10.9	10.0
11.0	8.0
11.1	7.0
11.2	1.0
11.3	7.0
11.4	6.0
11.5	7.0
11.6	10.0
11.7	7.0
11.8	7.0
11.9	4.0
12.0	7.0
12.1	9.0
12.2	5.0
12.3	10.0
12.4	8.0
12.5	3.0
12.6	4.0
12.7	5.0
12.8	11.0
12.9	13.0
13.0	8.0
13.1	12.0
13.2	10.0
13.3	12.0
13.4	12.0
13.5	13.0
13.6	12.0
13.7	5.0
13.8	5.0
13.9	7.0
14.0	7.0
14.1	13.0
14.2	6.0
14.3	8.0
14.4	7.0
14.5	6.0
14.6	11.0
14.7	10.0
14.8	15.0
14.9	15.0
15.0	9.0
15.1	7.0
15.2	9.0
15.3	15.0
15.4	8.0
15.5	13.0
15.6	16.0
15.7	15.0
15.8	13.0
15.9	15.0
16.0	10.0
16.1	10.0
16.2	8.0
16.3	9.0
16.4	16.0
16.5	12.0
16.6	11.0
16.7	9.0
16.8	9.0
16.9	10.0
17.0	14.0
17.1	13.0
17.2	14.0
17.3	14.0
17.4	12.0
17.5	11.0
17.6	10.0
17.7	17.0
17.8	17.0
17.9	17.0
18.0	13.0
18.1	16.0
18.2	11.0
18.3	10.0
18.4	9.0
18.5	11.0
18.6	10.0
18.7	10.0
18.8	10.0
18.9	13.0
19.0	13.0
19.1	10.0
19.2	13.0
19.3	14.0
19.4	19.0
19.5	14.0
19.6	15.0
19.7	13.0
19.8	18.0
19.9	15.0
20.0	16.0
20.1	18.0
20.2	17.0
20.3	19.0
20.4	18.0
20.5	17.0
20.6	13.0
20.7	19.0
20.8	19.0
20.9	19.0
21.0	17.0
21.1	14.0
21.2	13.0
21.3	17.0
21.4	14.0
21.5	21.0
21.6	12.0
21.7	15.0
21.8	17.0
21.9	20.0
22.0	13.0
22.1	15.0
22.2	19.0
22.3	19.0
22.4	18.0
22.5	20.0
22.6	13.0
22.7	19.0
22.8	19.0
22.9	21.0
23.0	20.0
23.1	13.0
23.2	14.0
23.3	20.0
23.4	13.0
23.5	16.0
23.6	14.0
23.7	17.0
23.8	17.0
23.9	18.0
24.0	15.0
24.1	15.0
24.2	17.0
24.3	14.0
24.4	16.0
24.5	21.0
24.6	18.0
24.7	15.0
24.8	16.0
24.9	22.0
25.0	14.0
25.1	15.0
25.2	23.0
25.3	24.0
25.4	20.0
25.5	15.0
25.6	15.0
25.7	15.0
25.8	16.0
25.9	17.0
26.0	15.0
26.1	22.0
26.2	23.0
26.3	19.0
26.4	20.0
26.5	24.0
26.6	21.0
26.7	21.0
26.8	24.0
26.9	22.0
27.0	23.0
27.1	19.0
27.2	18.0
27.3	24.0
27.4	22.0
27.5	24.0
27.6	18.0
27.7	20.0
27.8	16.0
27.9	20.0
28.0	22.0
28.1	23.0
28.2	17.0
28.3	18.0
28.4	19.0
28.5	16.0
28.6	25.0
28.7	18.0
28.8	23.0
28.9	24.0
29.0	17.0
29.1	21.0
29.2	22.0
29.3	24.0
29.4	20.0
29.5	26.0
29.6	25.0
29.7	21.0
29.8	23.0
29.9	24.0
30.0	27.0
30.1	23.0
30.2	22.0
30.3	21.0
30.4	18.0
30.5	24.0
30.6	26.0
30.7	19.0
30.8	25.0
30.9	20.0
31.0	19.0
31.1	22.0
31.2	20.0
31.3	26.0
31.4	27.0
31.5	26.0
31.6	25.0
31.7	26.0
31.8	27.0
31.9	23.0
32.0	22.0
32.1	19.0
32.2	28.0
32.3	21.0
32.4	25.0
32.5	24.0
32.6	24.0
32.7	24.0
32.8	27.0
32.9	28.0
33.0	23.0
33.1	25.0
33.2	21.0
33.3	28.0
33.4	27.0
33.5	21.0
33.6	26.0
33.7	27.0
33.8	27.0
33.9	26.0
34.0	29.0
34.1	28.0
34.2	22.0
34.3	28.0
34.4	29.0
34.5	25.0
34.6	24.0
34.7	27.0
34.8	29.0
34.9	26.0
35.0	28.0
35.1	27.0
35.2	26.0
35.3	22.0
35.4	24.0
35.5	26.0
35.6	22.0
35.7	27.0
35.8	27.0
35.9	26.0
36.0	33.0
36.1	53.0
36.2	105.0
36.3	178.0
36.4	299.0
36.5	411.0
36.6	505.0
36.7	511.0
36.8	445.0
36.9	331.0
37.0	211.0
37.1	123.0
37.2	69.0
37.3	38.0
37.4	31.0
37.5	31.0
37.6	23.0
37.7	23.0
37.8	30.0
37.9	27.0
38.0	28.0
38.1	27.0
38.2	22.0
38.3	31.0
38.4	25.0
38.5	27.0
38.6	23.0
38.7	25.0
38.8	25.0
38.9	27.0
39.0	28.0
39.1	27.0
39.2	32.0
39.3	25.0
39.4	24.0
39.5	31.0
39.6	28.0
39.7	23.0
39.8	28.0
39.9	27.0
40.0	30.0
40.1	30.0
40.2	32.0
40.3	24.0
40.4	24.0
40.5	30.0
40.6	28.0
40.7	33.0
40.8	24.0
40.9	32.0
41.0	31.0
41.1	33.0
41.2	31.0
41.3	29.0
41.4	32.0
41.5	33.0
41.6	26.0
41.7	32.0
41.8	26.0
41.9	34.0
42.0	46.0
42.1	70.0
42.2	119.0
42.3	189.0
42.4	262.0
42.5	327.0
42.6	349.0
42.7	321.0
42.8	252.0
42.9	177.0
43.0	114.0
43.1	63.0
43.2	42.0
43.3	32.0
43.4	35.0
43.5	31.0
43.6	27.0
43.7	25.0
43.8	27.0
43.9	32.0
44.0	25.0
44.1	32.0
44.2	25.0
44.3	27.0
44.4	32.0
44.5	34.0
44.6	34.0
44.7	32.0
44.8	27.0
44.9	25.0
45.0	28.0
45.1	35.0
45.2	28.0
45.3	25.0
45.4	28.0
45.5	31.0
45.6	32.0
45.7	30.0
45.8	27.0
45.9	29.0
46.0	27.0
46.1	31.0
46.2	34.0
46.3	32.0
46.4	27.0
46.5	28.0
46.6	26.0
46.7	31.0
46.8	34.0
46.9	28.0
47.0	30.0
47.1	31.0
47.2	30.0
47.3	34.0
47.4	34.0
47.5	27.0
47.6	34.0
47.7	27.0
47.8	32.0
47.9	31.0
48.0	33.0
48.1	27.0
48.2	27.0
48.3	28.0
48.4	29.0
48.5	28.0
48.6	27.0
48.7	30.0
48.8	35.0
48.9	30.0
49.0	29.0
49.1	36.0
49.2	27.0
49.3	34.0
49.4	31.0
49.5	31.0
49.6	36.0
49.7	30.0
49.8	32.0
49.9	34.0
50.0	34.0
50.1	35.0
50.2	27.0
50.3	27.0
50.4	32.0
50.5	29.0
50.6	28.0
50.7	32.0
50.8	32.0
50.9	31.0
51.0	28.0
51.1	29.0
51.2	32.0
51.3	31.0
51.4	34.0
51.5	30.0
51.6	31.0
51.7	27.0
51.8	37.0
51.9	34.0
52.0	29.0
52.1	33.0
52.2	33.0
52.3	29.0
52.4	31.0
52.5	31.0
52.6	36.0
52.7	35.0
52.8	31.0
52.9	35.0
53.0	28.0
53.1	35.0
53.2	30.0
53.3	31.0
53.4	36.0
53.5	32.0
53.6	36.0
53.7	37.0
53.8	37.0
53.9	34.0
54.0	35.0
54.1	37.0
54.2	33.0
54.3	31.0
54.4	34.0
54.5	35.0
54.6	28.0
54.7	28.0
54.8	32.0
54.9	29.0
55.0	28.0
55.1	37.0
55.2	36.0
55.3	28.0
55.4	34.0
55.5	28.0
55.6	28.0
55.7	32.0
55.8	30.0
55.9	32.0
56.0	35.0
56.1	32.0
56.2	32.0
56.3	37.0
56.4	37.0
56.5	35.0
56.6	32.0
56.7	31.0
56.8	31.0
56.9	37.0
57.0	34.0
57.1	36.0
57.2	29.0
57.3	32.0
57.4	28.0
57.5	32.0
57.6	29.0
57.7	29.0
57.8	30.0
57.9	32.0
58.0	30.0
58.1	37.0
58.2	34.0
58.3	35.0
58.4	33.0
58.5	36.0
58.6	32.0
58.7	29.0
58.8	30.0
58.9	38.0
