 &SRS
<MetaDataAtStart>
mode=assessment
variable_meta=True
noisy=True
background=True
multiple=True
offset_compensation=0
slit_1_setting=0.1458
Mode=assessment
integrator constant=59.1751
temperature=292.1552
Wavelength (Angstroms)=1.19343
slit_motot_gain_mode=0
preamp_freq=215.0326
detector_offset=-6.8963
seed=3729156865
features=15
pre-filter-mode=0
issid=spqr1
slit_2_setting=0.3318
</MetaDataAtStart>
&END
Two Theta(deg)	Counts(sec^-1)
10.0	37.0
10.1	37.0
10.2	39.0
10.3	41.0
10.4	36.0
10.5	39.0
10.6	37.0
10.7	38.0
10.8	41.0
10.9	36.0
11.0	38.0
11.1	34.0
11.2	42.0
11.3	33.0
11.4	35.0
11.5	39.0
11.6	39.0
11.7	36.0
11.8	37.0
11.9	39.0
12.0	42.0
12.1	39.0
12.2	40.0
12.3	36.0
12.4	38.0
12.5	36.0
12.6	42.0
12.7	38.0
12.8	37.0
12.9	43.0
13.0	36.0
13.1	40.0
13.2	40.0
13.3	34.0
13.4	37.0
13.5	44.0
13.6	36.0
13.7	39.0
13.8	40.0
13.9	36.0
14.0	39.0
14.1	36.0
14.2	38.0
14.3	36.0
14.4	40.0
14.5	42.0
14.6	39.0
14.7	38.0
14.8	45.0
14.9	39.0
15.0	39.0
15.1	43.0
15.2	40.0
15.3	37.0
15.4	44.0
15.5	42.0
15.6	39.0
15.7	36.0
15.8	43.0
15.9	41.0
16.0	39.0
16.1	40.0
16.2	39.0
16.3	43.0
16.4	44.0
16.5	37.0
16.6	39.0
16.7	41.0
16.8	45.0
16.9	39.0
17.0	37.0
17.1	46.0
17.2	46.0
17.3	40.0
17.4	43.0
17.5	42.0
17.6	42.0
17.7	37.0
17.8	42.0
17.9	47.0
18.0	43.0
18.1	44.0
18.2	46.0
18.3	40.0
18.4	42.0
18.5	42.0
18.6	45.0
18.7	45.0
18.8	41.0
18.9	44.0
19.0	46.0
19.1	42.0
19.2	45.0
19.3	45.0
19.4	41.0
19.5	45.0
19.6	44.0
19.7	43.0
19.8	47.0
19.9	42.0
20.0	47.0
20.1	47.0
20.2	43.0
20.3	46.0
20.4	45.0
20.5	46.0
20.6	47.0
20.7	42.0
20.8	38.0
20.9	41.0
21.0	45.0
21.1	45.0
21.2	45.0
21.3	46.0
21.4	45.0
21.5	43.0
21.6	41.0
21.7	42.0
21.8	43.0
21.9	39.0
22.0	48.0
22.1	47.0
22.2	41.0
22.3	43.0
22.4	44.0
22.5	41.0
22.6	46.0
22.7	45.0
22.8	42.0
22.9	48.0
23.0	48.0
23.1	48.0
23.2	43.0
23.3	42.0
23.4	43.0
23.5	43.0
23.6	47.0
23.7	45.0
23.8	46.0
23.9	44.0
24.0	47.0
24.1	42.0
24.2	46.0
24.3	40.0
24.4	45.0
24.5	48.0
24.6	44.0
24.7	47.0
24.8	48.0
24.9	45.0
25.0	43.0
25.1	46.0
25.2	46.0
25.3	44.0
25.4	46.0
25.5	48.0
25.6	41.0
25.7	46.0
25.8	42.0
25.9	47.0
26.0	48.0
26.1	44.0
26.2	49.0
26.3	46.0
26.4	44.0
26.5	45.0
26.6	46.0
26.7	46.0
26.8	50.0
26.9	47.0
27.0	43.0
27.1	46.0
27.2	42.0
27.3	45.0
27.4	46.0
27.5	42.0
27.6	43.0
27.7	42.0
27.8	41.0
27.9	48.0
28.0	43.0
28.1	44.0
28.2	43.0
28.3	41.0
28.4	45.0
28.5	49.0
28.6	41.0
28.7	50.0
28.8	43.0
28.9	44.0
29.0	46.0
29.1	42.0
29.2	51.0
29.3	47.0
29.4	48.0
29.5	42.0
29.6	49.0
29.7	47.0
29.8	46.0
29.9	50.0
30.0	42.0
30.1	47.0
30.2	49.0
30.3	47.0
30.4	48.0
30.5	42.0
30.6	51.0
30.7	47.0
30.8	50.0
30.9	50.0
31.0	46.0
31.1	44.0
31.2	43.0
31.3	49.0
31.4	47.0
31.5	51.0
31.6	51.0
31.7	47.0
31.8	51.0
31.9	45.0
32.0	52.0
32.1	70.0
32.2	120.0
32.3	198.0
32.4	324.0
32.5	466.0
32.6	577.0
32.7	605.0
32.8	528.0
32.9	402.0
33.0	255.0
33.1	148.0
33.2	95.0
33.3	67.0
33.4	49.0
33.5	49.0
33.6	47.0
33.7	43.0
33.8	50.0
33.9	50.0
34.0	47.0
34.1	47.0
34.2	46.0
34.3	43.0
34.4	51.0
34.5	49.0
34.6	52.0
34.7	43.0
34.8	47.0
34.9	51.0
35.0	48.0
35.1	45.0
35.2	52.0
35.3	46.0
35.4	50.0
35.5	47.0
35.6	51.0
35.7	43.0
35.8	50.0
35.9	45.0
36.0	51.0
36.1	52.0
36.2	48.0
36.3	48.0
36.4	49.0
36.5	46.0
36.6	50.0
36.7	45.0
36.8	52.0
36.9	50.0
37.0	52.0
37.1	44.0
37.2	53.0
37.3	63.0
37.4	87.0
37.5	136.0
37.6	207.0
37.7	299.0
37.8	391.0
37.9	422.0
38.0	402.0
38.1	323.0
38.2	219.0
38.3	140.0
38.4	87.0
38.5	62.0
38.6	53.0
38.7	45.0
38.8	53.0
38.9	49.0
39.0	44.0
39.1	52.0
39.2	45.0
39.3	50.0
39.4	48.0
39.5	50.0
39.6	47.0
39.7	51.0
39.8	48.0
39.9	47.0
40.0	48.0
40.1	48.0
40.2	50.0
40.3	51.0
40.4	52.0
40.5	50.0
40.6	49.0
40.7	51.0
40.8	53.0
40.9	51.0
41.0	53.0
41.1	48.0
